,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
0,okarakus23,"Anamur, Türkiye",41,18,52,2021-01-06 19:00:32,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
1,ystemel1,Sakarya,15,3,98,2021-01-06 18:37:43,0,milyon dolarlık adamların borçlarının üstüne kırmızı kalem çekip çiftçinin işçinin üç kuruş borcuna icra gönderip birde sen hep mi diyorsunuz çok komik hakkaten 
2,Sude48116149,,101,9,53,2021-01-06 01:18:32,32,çok özledik be kemal abi
3,_gzey,Mersin,1381,476,771,2021-01-05 21:22:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
4,MusaYildirimFB,"Gaziantep, Türkiye",57,756,4578,2021-01-05 19:09:28,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
5,__destina,"İstanbul, Türkiye",485,262,3904,2021-01-05 18:50:56,0,bir reklam yapmışlar kemal sunal ile ama nasıl güzel gülmek hiç fena olur mu kemal abi 
6,Sametuysal_7,"Fatih, İstanbul",105,36,168,2021-01-05 15:30:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
7,samettuncer17,"Biga, Türkiye",2299,711,1797,2021-01-05 12:16:40,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
8,Tlin77183155,"Merkez, Uşak",96,10,331,2021-01-05 09:10:30,1,sonuna doğru boğazım düğümlendi hep kalbimizde olacaksın nur içinde yat güzel insan 
9,yaevdeyoksan_,Mesir Macunu,4936,4878,14121,2021-01-05 07:24:53,1,sonuna doğru boğazım düğümlendi hep kalbimizde olacaksın nur içinde yat güzel insan 
10,trk_hmz,"Samsun, Türkiye",59,69,9,2021-01-04 19:55:51,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
11,makepossiblee,,72,14,1079,2021-01-04 19:52:09,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
12,me3ve_,"Antwerpen, België",593,713,10701,2021-01-04 19:04:51,32,çok özledik be kemal abi
13,Penarr_,Bilmiyorum ,264,645,3220,2021-01-04 18:45:19,1,bu reklama kalbimi bıraktım 
14,samhoca,güvercinlerülkesi,170,65,2606,2021-01-04 18:12:41,1,bu reklama kalbimi bıraktım 
15,mustafagur1903,Türkiye,1759,843,2343,2021-01-04 16:52:55,0,muhteşem bir reklam daha teşekkürler sende iyi ki varsın
16,turuncnad1r,,181,36,457,2021-01-04 16:50:38,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
17,1benmerve,,102,19,2182,2021-01-04 16:40:06,0,kırmızı şal kırmızı patik kahve ve kemal sunal 
18,MinelsuB,"Lüleburgaz, Türkiye",139,176,5599,2021-01-04 16:22:27,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
19,MehmetD92585408,,16,13,90,2021-01-04 13:53:25,2,rahmet le anıyoruz ve gülümsüyoruz 
20,SedatSe98348320,"Wien, Österreich",431,134,2499,2021-01-04 12:28:08,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
21,naifruhluyarim,"Hatay, Türkiye",189,66,1042,2021-01-04 11:44:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
22,enesos44,Malatya,4978,2877,258621,2021-01-04 08:27:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
23,yalnizcaselda,33|43,1689,2434,3439,2021-01-04 07:47:27,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
24,Badem74071325,,11,0,44,2021-01-04 07:45:51,0,i lk defa gördüm gözlerim doldu 90 lı yılların çocuğu olarak keşke çocuklarımda seni görebilseydi dedim içimden kemal sunal 
