,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
0,Benim_O_Ben_,,1145,1141,11270,2021-01-07 13:45:09,34,sma hastaları için yardım toplamak suç sayılıyor artık çaresizliği tavan yaptırıyorlar
1,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:44:54,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
2,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:44:49,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
3,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:44:43,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
4,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:44:39,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
5,cemilegocer58,,107,1,199,2021-01-07 13:44:08,4,i nsan gibi yazıyoruz sesimizi duyan yok ama en ufak bir kötü söz söylesek yağmur gibi gelirsiniz çocuklar ölüyor 
6,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:43:42,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
7,BEBJK1,"South Holland, The Netherlands",1056,1051,15906,2021-01-07 13:42:13,34,sma hastaları için yardım toplamak suç sayılıyor artık çaresizliği tavan yaptırıyorlar
8,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:42:03,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
9,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:41:57,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
10,aslidoyaar,"Samsun, Türkiye",239,945,1421,2021-01-07 13:41:04,1,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
11,samethsrar,,3211,535,113,2021-01-07 13:40:52,1,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
12,salihaerzin,,158,61,111,2021-01-07 13:40:29,1,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
13,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:40:24,1,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
14,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:40:20,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
15,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:40:16,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
16,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:40:12,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
17,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:40:06,1,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
18,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:40:02,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
19,Dneoktay,"Sivaslı, Türkiye",42,37,1562,2021-01-07 13:39:55,0,paylaşalım lütfen rt aylik sma hastasi bebeği mi z yardim bekli yor i ki z kardeşi bu hastaliktan vefat etti lütfen paylaşarak da olsa yardimci olur musunuz 
