username,location,following,followers,totaltweets,whentweetcreated,retweets,text
Sude48116149,,101,9,53,2021-01-06 01:18:32,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
_gzey,Mersin,1381,476,771,2021-01-05 21:22:54,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
MusaYildirimFB,"Gaziantep, Türkiye",57,756,4576,2021-01-05 19:09:28,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
__destina,"İstanbul, Türkiye",485,262,3904,2021-01-05 18:50:56,0,"Bir reklam yapmışlar Kemal Sunal ile ama nasıl güzel ❤️ 
Gülmek hiç fena olur mu Kemal Abi? 
  
#senhepgülümse"
Sametuysal_7,"Fatih, İstanbul",104,36,168,2021-01-05 15:30:58,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
samettuncer17,"Biga, Türkiye",2299,711,1796,2021-01-05 12:16:40,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Tlin77183155,"Merkez, Uşak",96,10,331,2021-01-05 09:10:30,1,"Sonuna doğru boğazım düğümlendi. #KemalSunal hep kalbimizde olacaksın..
Nur içinde yat güzel insan.. 
#SenHepGülümse https://t.co/qnw7ansfXl"
yaevdeyoksan_,Mesir Macunu,4936,4877,14121,2021-01-05 07:24:53,1,"Sonuna doğru boğazım düğümlendi. #KemalSunal hep kalbimizde olacaksın..
Nur içinde yat güzel insan.. 
#SenHepGülümse https://t.co/qnw7ansfXl"
trk_hmz,"Samsun, Türkiye",59,69,9,2021-01-04 19:55:51,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
makepossiblee,,72,14,1078,2021-01-04 19:52:09,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
me3ve_,"Antwerpen, België",594,711,10693,2021-01-04 19:04:51,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
Penarr_,Bilmiyorum ,264,645,3219,2021-01-04 18:45:19,1,Bu reklama kalbimi bıraktım❤️ #SenHepGülümse https://t.co/KxekP5PFs4
samhoca,güvercinlerülkesi,170,65,2599,2021-01-04 18:12:41,1,Bu reklama kalbimi bıraktım❤️ #SenHepGülümse https://t.co/KxekP5PFs4
mustafagur1903,Türkiye,1759,843,2343,2021-01-04 16:52:55,0,"#senhepgülümse 
Muhteşem bir reklam daha teşekkürler @ziraatbankasi 
Sende iyi ki Varsın @SunalAli https://t.co/br3n0Qvyto"
turuncnad1r,,181,36,457,2021-01-04 16:50:38,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
1benmerve,,102,19,2182,2021-01-04 16:40:06,0,"Kırmızı şal, kırmızı patik, kahve ve Kemal Sunal.. 
#senhepgülümse 💙 https://t.co/wYefJjuhZn"
MinelsuB,"Lüleburgaz, Türkiye",139,176,5599,2021-01-04 16:22:27,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
MehmetD92585408,,16,13,90,2021-01-04 13:53:25,2,"#SenHepGülümse Rahmet'le anıyoruz.. Ve Gülümsüyoruz.
#KemalSunal #şaban https://t.co/4TwzlttlyN"
SedatSe98348320,"Wien, Österreich",431,134,2498,2021-01-04 12:28:08,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
naifruhluyarim,"Hatay, Türkiye",189,66,1042,2021-01-04 11:44:54,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
enesos44,Malatya,4978,2880,258620,2021-01-04 08:27:18,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
yalnizcaselda,33|43,1689,2434,3439,2021-01-04 07:47:27,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Badem74071325,,11,0,44,2021-01-04 07:45:51,0,İlk defa gördüm gözlerim doldu...90 lı yılların çocuğu olarak keşke  çocuklarımda seni görebilseydi dedim içimden Kemal Sunal...#Senhepgülümse
Zey_blt,67🇫🇷,2073,2153,7624,2021-01-04 07:40:55,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
kaptan69684899,,271,172,7197,2021-01-04 06:07:54,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Anl0690,"Ankara, Türkiye",456,911,77946,2021-01-03 23:38:41,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
FuatBurkay,Republic of Garga,462,411,1943,2021-01-03 21:14:38,0,"Ziraat Bankası bir reklam yapmış Tüylerim tek tek dikildi sen bir dünya’yı güldürdün..

ışıklarda olsun Kemal Sunal #Senhepgülümse 

Teşekkürler @ziraatbankasi !"
seyhancakmaak,,357,173,218,2021-01-03 21:09:17,0,"Ziraat bankasının , Kemal Sunal konseptli reklamını izlediniz mi? Şahane olmuş 🥺❣️#SenHepGülümse"
burcinksc,,75,70,1075,2021-01-03 21:08:21,0,Ziraat bankası’nın #senhepgülümse reklamı sen hayatımda gördüğüm en harika reklamsın..❤️
birisik_merve,,86,40,77,2021-01-03 20:18:39,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
aliack01,,264,247,1061,2021-01-03 19:56:49,0,"Çok iyi reklam olmuş.
insanları kalbinden vurarak duygularını sömürmek zaten bankacılığın rotası olmuş.Oysa şube ziyaretlerinde bunu hissedemiyoruz.Kemal Sunal bu ülkenin değeridir.Allah rahmet eylesin.@SunalAli artık babasının bu şekilde kullanılmasına son vermeli #SenHepGülümse"
cansu45kivircik,"Manisa, Türkiye",110,284,918,2021-01-03 19:47:11,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
muratyaniks,İstanbul,206,71,371,2021-01-03 19:32:11,7,"Çok uğraştık, ama oldu.. Büyük ustaya saygıyla... #senhepgülümse @HPPistanbul https://t.co/VAajgCAQP6"
KaniSeven,,18,1,6,2021-01-03 19:28:57,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
DalgTekin,,446,169,8930,2021-01-03 18:26:47,560,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Rapunzeeeeellll,Arsuz/Hatay,393,644,6696,2021-01-03 18:08:11,0,Reklam gibi reklam bee başa sarıp sarıp izleyesim geliyor 😍 Sevgi ve hasretle  büyük usta #senhepgülümse https://t.co/DUeH1nleKs
