username,location,following,followers,totaltweets,whentweetcreated,retweets,text
okarakus23,"Anamur, Türkiye",41,18,52,2021-01-06 19:00:32,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
ystemel1,Sakarya,15,3,98,2021-01-06 18:37:43,0,Milyon Dolarlık adamların borçlarının üstüne kırmızı kalem çekip çiftçinin işçinin üç kuruş borcuna icra gönderip birde sen hep #SenHepGülümse mi diyorsunuz. Çok komik hakkaten.
Sude48116149,,101,9,53,2021-01-06 01:18:32,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
_gzey,Mersin,1381,476,771,2021-01-05 21:22:54,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
MusaYildirimFB,"Gaziantep, Türkiye",57,756,4578,2021-01-05 19:09:28,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
__destina,"İstanbul, Türkiye",485,262,3904,2021-01-05 18:50:56,0,"Bir reklam yapmışlar Kemal Sunal ile ama nasıl güzel ❤️ 
Gülmek hiç fena olur mu Kemal Abi? 
  
#senhepgülümse"
Sametuysal_7,"Fatih, İstanbul",105,36,168,2021-01-05 15:30:58,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
samettuncer17,"Biga, Türkiye",2299,711,1797,2021-01-05 12:16:40,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
Tlin77183155,"Merkez, Uşak",96,10,331,2021-01-05 09:10:30,1,"Sonuna doğru boğazım düğümlendi. #KemalSunal hep kalbimizde olacaksın..
Nur içinde yat güzel insan.. 
#SenHepGülümse https://t.co/qnw7ansfXl"
yaevdeyoksan_,Mesir Macunu,4936,4878,14121,2021-01-05 07:24:53,1,"Sonuna doğru boğazım düğümlendi. #KemalSunal hep kalbimizde olacaksın..
Nur içinde yat güzel insan.. 
#SenHepGülümse https://t.co/qnw7ansfXl"
trk_hmz,"Samsun, Türkiye",59,69,9,2021-01-04 19:55:51,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
makepossiblee,,72,14,1079,2021-01-04 19:52:09,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
me3ve_,"Antwerpen, België",593,713,10701,2021-01-04 19:04:51,32,Çok özledik be Kemal abi #SenHepGülümse https://t.co/9RVDmj5JX8
Penarr_,Bilmiyorum ,264,645,3220,2021-01-04 18:45:19,1,Bu reklama kalbimi bıraktım❤️ #SenHepGülümse https://t.co/KxekP5PFs4
samhoca,güvercinlerülkesi,170,65,2606,2021-01-04 18:12:41,1,Bu reklama kalbimi bıraktım❤️ #SenHepGülümse https://t.co/KxekP5PFs4
mustafagur1903,Türkiye,1759,843,2343,2021-01-04 16:52:55,0,"#senhepgülümse 
Muhteşem bir reklam daha teşekkürler @ziraatbankasi 
Sende iyi ki Varsın @SunalAli https://t.co/br3n0Qvyto"
turuncnad1r,,181,36,457,2021-01-04 16:50:38,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
1benmerve,,102,19,2182,2021-01-04 16:40:06,0,"Kırmızı şal, kırmızı patik, kahve ve Kemal Sunal.. 
#senhepgülümse 💙 https://t.co/wYefJjuhZn"
MinelsuB,"Lüleburgaz, Türkiye",139,176,5599,2021-01-04 16:22:27,561,"Öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın, öyle şeyler yap ki adını hiç kimse unutmasın, unutamasın. Ziraat Bankası, güler yüzüyle 157 yıldır bir bankadan daha fazlası. #ZiraatBankası #BirBankadanDahaFazlası #SenHepGülümse https://t.co/AxkdUcMKHy"
MehmetD92585408,,16,13,90,2021-01-04 13:53:25,2,"#SenHepGülümse Rahmet'le anıyoruz.. Ve Gülümsüyoruz.
#KemalSunal #şaban https://t.co/4TwzlttlyN"
